fileName,oldGroupName,oldAttributeName,newGroupName,newAttributeName,attributeValue
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,dead
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:low,outcome,Young patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,live
mifem.csv,age:high,outcome,Old patients,Outcome,dead
mifem.csv,age:high,outcome,Old patients,Outcome,live
